centroides_x,centroides_y,id
32.964285714285715,16.571428571428573,A
39.65384615384615,16.692307692307693,B
48.07692307692308,17.03846153846154,B
52.77272727272727,16.772727272727273,A
56.851851851851855,17.666666666666668,B
66.0,17.0,B
71.39285714285714,16.928571428571427,A
28.379310344827587,20.896551724137932,A
33.30769230769231,21.346153846153847,B
37.8,21.0,A
44.241379310344826,27.344827586206897,A
44.4,18.966666666666665,A
51.733333333333334,22.333333333333332,A
61.30769230769231,17.653846153846153,A
62.32142857142857,23.107142857142858,B
67.45833333333333,21.375,A
73.52,20.52,B
79.875,24.125,B
24.037037037037038,24.925925925925927,A
28.612903225806452,30.967741935483872,A
28.77777777777778,26.11111111111111,B
35.46875,26.78125,A
40.68,23.68,B
47.625,24.208333333333332,B
52.06060606060606,28.818181818181817,A
57.0,23.5,A
62.391304347826086,27.434782608695652,A
68.25925925925925,25.814814814814813,A
72.3913043478261,27.347826086956523,B
76.0,23.703703703703702,A
82.60714285714286,28.392857142857142,A
21.357142857142858,28.964285714285715,B
26.8,34.56,B
37.92857142857143,33.67857142857143,A
33.91304347826087,30.73913043478261,B
41.19230769230769,30.653846153846153,B
48.08695652173913,30.956521739130434,B
56.93103448275862,29.413793103448278,B
46.86666666666667,34.96666666666667,A
61.77777777777778,32.03703703703704,A
66.93103448275862,31.586206896551722,B
72.58064516129032,31.903225806451612,A
77.73076923076923,30.346153846153847,B
86.23076923076923,31.5,B
17.416666666666668,31.291666666666668,A
17.5,36.0,B
22.833333333333332,35.36666666666667,A
29.535714285714285,39.392857142857146,A
33.04347826086956,36.08695652173913,B
42.5,37.0,B
48.2,40.12,B
52.43478260869565,35.391304347826086,B
56.903225806451616,35.774193548387096,A
62.0,37.0,B
67.5,37.0,A
73.22222222222223,37.03703703703704,B
79.0,34.6551724137931,A
81.33333333333333,37.875,B
86.32,35.36,A
18.423076923076923,40.46153846153846,A
17.25925925925926,44.18518518518518,B
24.0,41.32142857142857,B
29.391304347826086,44.21739130434783,B
34.7,41.85,B
38.111111111111114,38.925925925925924,A
45.22222222222222,42.888888888888886,A
51.275862068965516,42.86206896551724,A
56.24,40.76,B
62.689655172413794,42.37931034482759,A
67.0,41.473684210526315,B
70.64285714285714,42.82142857142857,A
79.06896551724138,41.6551724137931,A
86.1923076923077,43.38461538461539,B
86.32,39.64,A
17.5,48.5,A
22.25,47.57142857142857,A
26.653846153846153,47.5,A
32.53846153846154,47.23076923076923,A
37.77272727272727,45.0,A
41.45454545454545,43.54545454545455,B
46.96296296296296,48.51851851851852,B
53.5,47.86363636363637,B
56.583333333333336,45.25,A
60.77272727272727,46.09090909090909,B
65.9047619047619,47.57142857142857,B
74.9090909090909,43.09090909090909,B
79.57692307692308,47.76923076923077,B
83.38461538461539,48.0,A
87.56521739130434,48.391304347826086,A
17.23076923076923,52.73076923076923,B
24.16,52.88,B
30.695652173913043,51.78260869565217,B
36.06666666666667,54.03333333333333,A
36.78260869565217,49.130434782608695,B
42.06896551724138,49.58620689655172,A
45.724137931034484,54.93103448275862,A
