id,Tipo,X,Y,Z
181,1,0,0,0
181,1,1,0,0
181,1,2,0,0
181,1,3,0,0
181,1,4,0,0
181,1,5,0,0
181,1,6,0,0
123,2,7,0,0
245,2,8,0,0
245,2,9,0,0
245,2,10,0,0
245,2,11,0,0
152,1,12,0,0
152,1,13,0,0
152,1,14,0,0
152,1,15,0,0
152,1,16,0,0
152,1,17,0,0
129,2,18,0,0
129,2,19,0,0
129,2,20,0,0
129,2,21,0,0
129,2,22,0,0
129,2,23,0,0
129,2,24,0,0
129,2,25,0,0
129,2,26,0,0
49,1,27,0,0
49,1,28,0,0
49,1,29,0,0
49,1,30,0,0
49,1,31,0,0
49,1,32,0,0
49,1,33,0,0
213,2,34,0,0
1,1,35,0,0
1,1,36,0,0
1,1,37,0,0
1,1,38,0,0
1,1,39,0,0
1,1,40,0,0
1,1,41,0,0
1,1,42,0,0
1,1,43,0,0
2,2,44,0,0
3,1,45,0,0
3,1,46,0,0
3,1,47,0,0
3,1,48,0,0
3,1,49,0,0
3,1,50,0,0
3,1,51,0,0
3,1,52,0,0
3,1,53,0,0
34,2,54,0,0
34,2,55,0,0
34,2,56,0,0
34,2,57,0,0
34,2,58,0,0
34,2,59,0,0
4,1,60,0,0
4,1,61,0,0
4,1,62,0,0
4,1,63,0,0
4,1,64,0,0
4,1,65,0,0
4,1,66,0,0
4,1,67,0,0
4,1,68,0,0
79,2,69,0,0
79,2,70,0,0
79,2,71,0,0
79,2,72,0,0
36,1,73,0,0
36,1,74,0,0
36,1,75,0,0
36,1,76,0,0
36,1,77,0,0
36,1,78,0,0
36,1,79,0,0
36,1,80,0,0
36,1,81,0,0
36,1,82,0,0
38,2,83,0,0
38,2,84,0,0
38,2,85,0,0
38,2,86,0,0
38,2,87,0,0
38,2,88,0,0
38,2,89,0,0
19,1,90,0,0
19,1,91,0,0
19,1,92,0,0
19,1,93,0,0
19,1,94,0,0
19,1,95,0,0
19,1,96,0,0
19,1,97,0,0
19,1,98,0,0
24,2,99,0,0
24,2,100,0,0
24,2,101,0,0
24,2,102,0,0
24,2,103,0,0
7,1,104,0,0
7,1,105,0,0
7,1,106,0,0
7,1,107,0,0
7,1,108,0,0
7,1,109,0,0
7,1,110,0,0
7,1,111,0,0
7,1,112,0,0
7,1,113,0,0
23,2,114,0,0
23,2,115,0,0
9,1,116,0,0
9,1,117,0,0
9,1,118,0,0
9,1,119,0,0
9,1,120,0,0
9,1,121,0,0
9,1,122,0,0
9,1,123,0,0
9,1,124,0,0
25,2,125,0,0
10,1,126,0,0
10,1,127,0,0
10,1,128,0,0
10,1,129,0,0
10,1,130,0,0
10,1,131,0,0
10,1,132,0,0
10,1,133,0,0
10,1,134,0,0
10,1,135,0,0
10,1,136,0,0
142,2,137,0,0
11,1,138,0,0
11,1,139,0,0
11,1,140,0,0
11,1,141,0,0
11,1,142,0,0
11,1,143,0,0
11,1,144,0,0
11,1,145,0,0
11,1,146,0,0
11,1,147,0,0
11,1,148,0,0
116,2,149,0,0
116,2,150,0,0
116,2,151,0,0
46,1,152,0,0
46,1,153,0,0
46,1,154,0,0
46,1,155,0,0
46,1,156,0,0
46,1,157,0,0
46,1,158,0,0
46,1,159,0,0
46,1,160,0,0
67,2,161,0,0
67,2,162,0,0
28,1,163,0,0
28,1,164,0,0
28,1,165,0,0
28,1,166,0,0
28,1,167,0,0
28,1,168,0,0
28,1,169,0,0
28,1,170,0,0
28,1,171,0,0
207,2,172,0,0
207,2,173,0,0
207,2,174,0,0
95,1,175,0,0
95,1,176,0,0
95,1,177,0,0
95,1,178,0,0
95,1,179,0,0
95,1,180,0,0
95,1,181,0,0
95,1,182,0,0
242,2,183,0,0
242,2,184,0,0
242,2,185,0,0
242,2,186,0,0
242,2,187,0,0
93,2,188,0,0
93,2,189,0,0
151,2,190,0,0
151,2,191,0,0
70,1,192,0,0
70,1,193,0,0
70,1,194,0,0
70,1,195,0,0
70,1,196,0,0
70,1,197,0,0
70,1,198,0,0
70,1,199,0,0
181,1,0,1,0
181,1,1,1,0
181,1,2,1,0
181,1,3,1,0
181,1,4,1,0
181,1,5,1,0
181,1,6,1,0
123,2,7,1,0
245,2,8,1,0
245,2,9,1,0
245,2,10,1,0
245,2,11,1,0
245,2,12,1,0
152,1,13,1,0
152,1,14,1,0
152,1,15,1,0
152,1,16,1,0
152,1,17,1,0
152,1,18,1,0
152,1,19,1,0
152,1,20,1,0
129,2,21,1,0
75,2,22,1,0
129,2,23,1,0
129,2,24,1,0
129,2,25,1,0
129,2,26,1,0
49,1,27,1,0
49,1,28,1,0
49,1,29,1,0
49,1,30,1,0
49,1,31,1,0
49,1,32,1,0
49,1,33,1,0
213,2,34,1,0
1,1,35,1,0
1,1,36,1,0
1,1,37,1,0
1,1,38,1,0
1,1,39,1,0
1,1,40,1,0
1,1,41,1,0
1,1,42,1,0
1,1,43,1,0
2,2,44,1,0
2,2,45,1,0
3,1,46,1,0
3,1,47,1,0
3,1,48,1,0
3,1,49,1,0
3,1,50,1,0
3,1,51,1,0
3,1,52,1,0
3,1,53,1,0
34,2,54,1,0
34,2,55,1,0
34,2,56,1,0
34,2,57,1,0
34,2,58,1,0
34,2,59,1,0
4,1,60,1,0
4,1,61,1,0
4,1,62,1,0
4,1,63,1,0
4,1,64,1,0
4,1,65,1,0
4,1,66,1,0
4,1,67,1,0
4,1,68,1,0
79,2,69,1,0
79,2,70,1,0
106,2,71,1,0
106,2,72,1,0
106,2,73,1,0
36,1,74,1,0
36,1,75,1,0
36,1,76,1,0
36,1,77,1,0
36,1,78,1,0
36,1,79,1,0
36,1,80,1,0
36,1,81,1,0
36,1,82,1,0
38,2,83,1,0
38,2,84,1,0
56,1,85,1,0
56,1,86,1,0
56,1,87,1,0
38,2,88,1,0
38,2,89,1,0
19,1,90,1,0
19,1,91,1,0
19,1,92,1,0
19,1,93,1,0
19,1,94,1,0
19,1,95,1,0
19,1,96,1,0
19,1,97,1,0
19,1,98,1,0
24,2,99,1,0
24,2,100,1,0
24,2,101,1,0
24,2,102,1,0
24,2,103,1,0
7,1,104,1,0
7,1,105,1,0
7,1,106,1,0
7,1,107,1,0
7,1,108,1,0
7,1,109,1,0
7,1,110,1,0
7,1,111,1,0
7,1,112,1,0
7,1,113,1,0
23,2,114,1,0
23,2,115,1,0
23,2,116,1,0
9,1,117,1,0
9,1,118,1,0
9,1,119,1,0
9,1,120,1,0
9,1,121,1,0
9,1,122,1,0
9,1,123,1,0
9,1,124,1,0
25,2,125,1,0
10,1,126,1,0
10,1,127,1,0
10,1,128,1,0
10,1,129,1,0
10,1,130,1,0
10,1,131,1,0
10,1,132,1,0
10,1,133,1,0
10,1,134,1,0
10,1,135,1,0
142,2,136,1,0
142,2,137,1,0
142,2,138,1,0
11,1,139,1,0
11,1,140,1,0
11,1,141,1,0
11,1,142,1,0
11,1,143,1,0
11,1,144,1,0
11,1,145,1,0
11,1,146,1,0
11,1,147,1,0
11,1,148,1,0
116,2,149,1,0
66,2,150,1,0
116,2,151,1,0
46,1,152,1,0
46,1,153,1,0
46,1,154,1,0
46,1,155,1,0
46,1,156,1,0
46,1,157,1,0
46,1,158,1,0
46,1,159,1,0
46,1,160,1,0
67,2,161,1,0
67,2,162,1,0
28,1,163,1,0
28,1,164,1,0
28,1,165,1,0
28,1,166,1,0
28,1,167,1,0
28,1,168,1,0
28,1,169,1,0
28,1,170,1,0
28,1,171,1,0
207,2,172,1,0
207,2,173,1,0
207,2,174,1,0
95,1,175,1,0
95,1,176,1,0
95,1,177,1,0
95,1,178,1,0
95,1,179,1,0
95,1,180,1,0
95,1,181,1,0
95,1,182,1,0
95,1,183,1,0
242,2,184,1,0
242,2,185,1,0
