96,B,0,0,0
96,B,1,0,0
96,B,2,0,0
96,B,3,0,0
96,B,4,0,0
96,B,5,0,0
49,B,7,0,0
49,B,8,0,0
49,B,9,0,0
49,B,10,0,0
49,B,11,0,0
49,B,12,0,0
49,B,13,0,0
49,B,14,0,0
49,B,15,0,0
29,B,17,0,0
29,B,18,0,0
29,B,19,0,0
29,B,20,0,0
29,B,21,0,0
29,B,22,0,0
29,B,23,0,0
29,B,24,0,0
30,A,26,0,0
30,A,27,0,0
30,A,28,0,0
30,A,29,0,0
30,A,30,0,0
30,A,31,0,0
30,A,32,0,0
13,B,34,0,0
13,B,35,0,0
13,B,36,0,0
13,B,37,0,0
13,B,38,0,0
13,B,39,0,0
13,B,40,0,0
13,B,41,0,0
13,B,42,0,0
13,B,43,0,0
13,B,44,0,0
1,A,46,0,0
1,A,47,0,0
1,A,48,0,0
1,A,49,0,0
1,A,50,0,0
1,A,51,0,0
15,A,54,0,0
15,A,55,0,0
15,A,56,0,0
15,A,57,0,0
15,A,58,0,0
15,A,59,0,0
15,A,60,0,0
15,A,61,0,0
2,A,63,0,0
2,A,64,0,0
2,A,65,0,0
2,A,66,0,0
2,A,67,0,0
2,A,68,0,0
2,A,69,0,0
2,A,70,0,0
4,B,72,0,0
4,B,73,0,0
4,B,74,0,0
4,B,75,0,0
4,B,76,0,0
4,B,77,0,0
4,B,78,0,0
4,B,79,0,0
4,B,80,0,0
4,B,81,0,0
4,B,82,0,0
5,B,84,0,0
5,B,85,0,0
5,B,86,0,0
5,B,87,0,0
5,B,88,0,0
5,B,89,0,0
5,B,90,0,0
5,B,91,0,0
5,B,92,0,0
6,A,94,0,0
6,A,95,0,0
6,A,96,0,0
6,A,97,0,0
6,A,98,0,0
6,A,99,0,0
6,A,100,0,0
6,A,101,0,0
6,A,102,0,0
7,A,104,0,0
7,A,105,0,0
7,A,106,0,0
7,A,107,0,0
7,A,108,0,0
7,A,109,0,0
7,A,110,0,0
7,A,111,0,0
7,A,112,0,0
7,A,113,0,0
9,A,116,0,0
9,A,117,0,0
9,A,118,0,0
9,A,119,0,0
9,A,120,0,0
9,A,121,0,0
9,A,122,0,0
9,A,123,0,0
24,B,125,0,0
24,B,126,0,0
24,B,127,0,0
24,B,128,0,0
24,B,129,0,0
24,B,130,0,0
24,B,131,0,0
24,B,132,0,0
24,B,133,0,0
25,B,135,0,0
25,B,136,0,0
25,B,137,0,0
25,B,138,0,0
25,B,139,0,0
25,B,140,0,0
25,B,141,0,0
25,B,142,0,0
25,B,143,0,0
10,B,145,0,0
10,B,146,0,0
10,B,147,0,0
10,B,148,0,0
10,B,149,0,0
10,B,150,0,0
11,A,152,0,0
11,A,153,0,0
11,A,154,0,0
11,A,155,0,0
11,A,156,0,0
11,A,157,0,0
11,A,158,0,0
46,A,160,0,0
46,A,161,0,0
46,A,162,0,0
46,A,163,0,0
46,A,164,0,0
46,A,165,0,0
46,A,166,0,0
47,B,168,0,0
47,B,169,0,0
47,B,170,0,0
47,B,171,0,0
47,B,172,0,0
47,B,173,0,0
47,B,174,0,0
28,B,176,0,0
28,B,177,0,0
28,B,178,0,0
28,B,179,0,0
28,B,180,0,0
28,B,181,0,0
28,B,182,0,0
28,B,183,0,0
70,A,185,0,0
70,A,186,0,0
70,A,187,0,0
70,A,188,0,0
70,A,189,0,0
70,A,190,0,0
70,A,191,0,0
95,B,193,0,0
95,B,194,0,0
95,B,195,0,0
95,B,196,0,0
95,B,197,0,0
95,B,198,0,0
95,B,199,0,0
96,B,0,1,0
96,B,1,1,0
96,B,2,1,0
96,B,3,1,0
96,B,4,1,0
96,B,5,1,0
49,B,7,1,0
49,B,8,1,0
49,B,9,1,0
49,B,10,1,0
49,B,11,1,0
49,B,12,1,0
49,B,13,1,0
49,B,14,1,0
49,B,15,1,0
29,B,17,1,0
29,B,18,1,0
29,B,19,1,0
29,B,20,1,0
29,B,21,1,0
29,B,22,1,0
29,B,23,1,0
29,B,24,1,0
30,A,26,1,0
30,A,27,1,0
30,A,28,1,0
30,A,29,1,0
30,A,30,1,0
30,A,31,1,0
30,A,32,1,0
13,B,34,1,0
13,B,35,1,0
13,B,36,1,0
13,B,37,1,0
13,B,38,1,0
13,B,39,1,0
13,B,40,1,0
13,B,41,1,0
13,B,42,1,0
13,B,43,1,0
13,B,44,1,0
1,A,46,1,0
1,A,47,1,0
1,A,48,1,0
1,A,49,1,0
1,A,50,1,0
1,A,51,1,0
15,A,53,1,0
15,A,54,1,0
15,A,55,1,0
15,A,56,1,0
15,A,57,1,0
15,A,58,1,0
15,A,59,1,0
15,A,60,1,0
15,A,61,1,0
2,A,63,1,0
2,A,64,1,0
2,A,65,1,0
2,A,66,1,0
2,A,67,1,0
2,A,68,1,0
2,A,69,1,0
2,A,70,1,0
4,B,72,1,0
4,B,73,1,0
4,B,74,1,0
4,B,75,1,0
4,B,76,1,0
4,B,77,1,0
4,B,78,1,0
4,B,79,1,0
4,B,80,1,0
4,B,81,1,0
4,B,82,1,0
5,B,84,1,0
5,B,85,1,0
5,B,86,1,0
5,B,87,1,0
5,B,88,1,0
5,B,89,1,0
5,B,90,1,0
5,B,91,1,0
5,B,92,1,0
6,A,94,1,0
6,A,95,1,0
6,A,96,1,0
6,A,97,1,0
6,A,98,1,0
6,A,99,1,0
6,A,100,1,0
6,A,101,1,0
6,A,102,1,0
7,A,104,1,0
7,A,105,1,0
7,A,106,1,0
7,A,107,1,0
7,A,108,1,0
7,A,109,1,0
7,A,110,1,0
7,A,111,1,0
7,A,112,1,0
7,A,113,1,0
9,A,115,1,0
9,A,116,1,0
9,A,117,1,0
9,A,118,1,0
9,A,119,1,0
9,A,120,1,0
9,A,121,1,0
9,A,122,1,0
9,A,123,1,0
24,B,125,1,0
24,B,126,1,0
24,B,127,1,0
24,B,128,1,0
24,B,129,1,0
24,B,130,1,0
24,B,131,1,0
24,B,132,1,0
24,B,133,1,0
25,B,135,1,0
25,B,136,1,0
25,B,137,1,0
25,B,138,1,0
25,B,139,1,0
25,B,140,1,0
25,B,141,1,0
25,B,142,1,0
25,B,143,1,0
